Date,Open,High,Low,Close,Volume,MarketCap,Currency
2022-01-24,1.0,1.0,1.0,1.0,1.61680e+11,7.84400e+10, Tether
2022-01-25,1.0,1.0,1.0,1.0,1.36320e+11,7.84500e+10, Tether
2022-01-26,1.0,1.0,1.0,1.0,1.02230e+11,7.84500e+10, Tether
2022-01-27,1.0,1.0,1.0,1.0,1.21790e+11,7.84400e+10, Tether
2022-01-28,1.0,1.0,1.0,1.0,9.98300e+10,7.84300e+10, Tether
2022-01-29,1.0,1.0,1.0,1.0,8.19300e+10,7.84400e+10, Tether
2022-01-30,1.0,1.0,1.0,1.0,7.06800e+10,7.84400e+10, Tether
2022-01-31,1.0,1.0,1.0,1.0,9.04400e+10,7.84400e+10, Tether
2022-02-01,1.0,1.0,1.0,1.0,8.71800e+10,7.82800e+10, Tether
2022-02-02,1.0,1.0,1.0,1.0,7.92400e+10,7.80200e+10, Tether
2022-02-03,1.0,1.0,1.0,1.0,8.20800e+10,7.80200e+10, Tether
2022-02-04,1.0,1.0,1.0,1.0,8.73200e+10,7.80300e+10, Tether
2022-02-05,1.0,1.0,1.0,1.0,1.20630e+11,7.80400e+10, Tether
2022-02-06,1.0,1.0,1.0,1.0,8.46300e+10,7.80400e+10, Tether
2022-02-07,1.0,1.0,1.0,1.0,9.93600e+10,7.80000e+10, Tether
2022-02-08,1.0,1.0,1.0,1.0,1.27800e+11,7.79700e+10, Tether
2022-02-09,1.0,1.0,1.0,1.0,1.12960e+11,7.79800e+10, Tether
2022-02-10,1.0,1.0,1.0,1.0,1.07170e+11,7.79800e+10, Tether
2022-02-11,1.0,1.0,1.0,1.0,1.30300e+11,7.79800e+10, Tether
2022-02-12,1.0,1.0,1.0,1.0,1.05710e+11,7.79600e+10, Tether
2022-02-13,1.0,1.0,1.0,1.0,7.18500e+10,7.79600e+10, Tether
2022-02-14,1.0,1.0,1.0,1.0,7.60600e+10,7.79500e+10, Tether
2022-02-15,1.0,1.0,1.0,1.0,8.95400e+10,7.79500e+10, Tether
2022-02-16,1.0,1.0,1.0,1.0,8.36000e+10,7.79600e+10, Tether
2022-02-17,1.0,1.0,1.0,1.0,9.33300e+10,7.80000e+10, Tether
2022-02-18,1.0,1.0,1.0,1.0,1.01560e+11,7.87300e+10, Tether
2022-02-19,1.0,1.0,1.0,1.0,8.04100e+10,7.87200e+10, Tether
2022-02-20,1.0,1.0,1.0,1.0,7.02900e+10,7.87200e+10, Tether
2022-02-21,1.0,1.0,1.0,1.0,9.16700e+10,7.87300e+10, Tether
